Nr,Gebiet,gehört zu,Bundesland,Label
120,Essen III,5,Nordrhein-Westfalen,Cities
121,Recklinghausen I,5,Nordrhein-Westfalen,Cities
122,Recklinghausen II,5,Nordrhein-Westfalen,Western Germany
123,Gelsenkirchen,5,Nordrhein-Westfalen,Cities
124,Steinfurt I – Borken I,5,Nordrhein-Westfalen,Western Germany
125,Bottrop – Recklinghausen III,5,Nordrhein-Westfalen,Western Germany
126,Borken II,5,Nordrhein-Westfalen,Western Germany
127,Coesfeld – Steinfurt II,5,Nordrhein-Westfalen,Western Germany
128,Steinfurt III,5,Nordrhein-Westfalen,Western Germany
129,Münster,5,Nordrhein-Westfalen,Cities
130,Warendorf,5,Nordrhein-Westfalen,Western Germany
131,Gütersloh I,5,Nordrhein-Westfalen,Western Germany
132,Bielefeld – Gütersloh II,5,Nordrhein-Westfalen,Cities
133,Herford – Minden-Lübbecke II,5,Nordrhein-Westfalen,Western Germany
134,Minden-Lübbecke I,5,Nordrhein-Westfalen,Western Germany
135,Lippe I,5,Nordrhein-Westfalen,Western Germany
136,Höxter – Lippe II,5,Nordrhein-Westfalen,Western Germany
137,Paderborn – Gütersloh III,5,Nordrhein-Westfalen,Western Germany
138,Hagen – Ennepe-Ruhr-Kreis I,5,Nordrhein-Westfalen,Western Germany
139,Ennepe-Ruhr-Kreis II,5,Nordrhein-Westfalen,Western Germany
140,Bochum I,5,Nordrhein-Westfalen,Cities
141,Herne – Bochum II,5,Nordrhein-Westfalen,Cities
142,Dortmund I,5,Nordrhein-Westfalen,Cities
143,Dortmund II,5,Nordrhein-Westfalen,Cities
144,Unna I,5,Nordrhein-Westfalen,Western Germany
145,Hamm – Unna II,5,Nordrhein-Westfalen,Western Germany
146,Soest,5,Nordrhein-Westfalen,Western Germany
147,Hochsauerlandkreis,5,Nordrhein-Westfalen,Western Germany
148,Siegen-Wittgenstein,5,Nordrhein-Westfalen,Western Germany
149,Olpe – Märkischer Kreis I,5,Nordrhein-Westfalen,Western Germany
150,Märkischer Kreis II,5,Nordrhein-Westfalen,Western Germany
151,Nordsachsen,14,Sachsen,Eastern Germany
152,Leipzig I,14,Sachsen,Cities
153,Leipzig II,14,Sachsen,Cities
154,Leipzig-Land,14,Sachsen,Eastern Germany
155,Meißen,14,Sachsen,Eastern Germany
156,Bautzen I,14,Sachsen,Eastern Germany
157,Görlitz,14,Sachsen,Eastern Germany
158,Sächsische Schweiz-Osterzgebirge,14,Sachsen,Eastern Germany
159,Dresden I,14,Sachsen,Cities
160,Dresden II – Bautzen II,14,Sachsen,Eastern Germany
161,Mittelsachsen,14,Sachsen,Eastern Germany
162,Chemnitz,14,Sachsen,Cities
163,Chemnitzer Umland – Erzgebirgskreis II,14,Sachsen,Eastern Germany
164,Erzgebirgskreis I,14,Sachsen,Eastern Germany
165,Zwickau,14,Sachsen,Eastern Germany
166,Vogtlandkreis,14,Sachsen,Eastern Germany
167,Waldeck,6,Hessen,Western Germany
168,Kassel,6,Hessen,Western Germany
169,Werra-Meißner – Hersfeld-Rotenburg,6,Hessen,Western Germany
170,Schwalm-Eder,6,Hessen,Western Germany
171,Marburg,6,Hessen,Western Germany
172,Lahn-Dill,6,Hessen,Western Germany
173,Gießen,6,Hessen,Western Germany
174,Fulda,6,Hessen,Western Germany
175,Main-Kinzig – Wetterau II – Schotten,6,Hessen,Western Germany
176,Hochtaunus,6,Hessen,Western Germany
177,Wetterau I,6,Hessen,Western Germany
178,Rheingau-Taunus – Limburg,6,Hessen,Western Germany
179,Wiesbaden,6,Hessen,Cities
180,Hanau,6,Hessen,Western Germany
181,Main-Taunus,6,Hessen,Cities
182,Frankfurt am Main I,6,Hessen,Cities
183,Frankfurt am Main II,6,Hessen,Cities
184,Groß-Gerau,6,Hessen,Western Germany
185,Offenbach,6,Hessen,Cities
186,Darmstadt,6,Hessen,Western Germany
187,Odenwald,6,Hessen,Western Germany
188,Bergstraße,6,Hessen,Western Germany
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,16,Thüringen,Eastern Germany
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,16,Thüringen,Eastern Germany
191,Jena – Sömmerda – Weimarer Land I,16,Thüringen,Eastern Germany
192,Gotha – Ilm-Kreis,16,Thüringen,Eastern Germany
193,Erfurt – Weimar – Weimarer Land II,16,Thüringen,Eastern Germany
194,Gera – Greiz – Altenburger Land,16,Thüringen,Eastern Germany
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,16,Thüringen,Eastern Germany
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,16,Thüringen,Eastern Germany
197,Neuwied,7,Rheinland-Pfalz,Western Germany
198,Ahrweiler,7,Rheinland-Pfalz,Western Germany
199,Koblenz,7,Rheinland-Pfalz,Western Germany
200,Mosel/Rhein-Hunsrück,7,Rheinland-Pfalz,Western Germany
201,Kreuznach,7,Rheinland-Pfalz,Western Germany
202,Bitburg,7,Rheinland-Pfalz,Western Germany
203,Trier,7,Rheinland-Pfalz,Western Germany
204,Montabaur,7,Rheinland-Pfalz,Western Germany
205,Mainz,7,Rheinland-Pfalz,Western Germany
206,Worms,7,Rheinland-Pfalz,Western Germany
207,Ludwigshafen/Frankenthal,7,Rheinland-Pfalz,Western Germany
208,Neustadt – Speyer,7,Rheinland-Pfalz,Western Germany
209,Kaiserslautern,7,Rheinland-Pfalz,Western Germany
210,Pirmasens,7,Rheinland-Pfalz,Western Germany
211,Südpfalz,7,Rheinland-Pfalz,Western Germany
212,Altötting,9,Bayern,Southern Germany
213,Erding – Ebersberg,9,Bayern,Southern Germany
214,Freising,9,Bayern,Southern Germany
215,Fürstenfeldbruck,9,Bayern,Southern Germany
216,Ingolstadt,9,Bayern,Southern Germany
217,München-Nord,9,Bayern,Cities
218,München-Ost,9,Bayern,Cities
219,München-Süd,9,Bayern,Cities
220,München-West/Mitte,9,Bayern,Cities
221,München-Land,9,Bayern,Southern Germany
222,Rosenheim,9,Bayern,Southern Germany
223,Bad Tölz-Wolfratshausen – Miesbach,9,Bayern,Southern Germany
224,Starnberg – Landsberg am Lech,9,Bayern,Southern Germany
225,Traunstein,9,Bayern,Southern Germany
226,Weilheim,9,Bayern,Southern Germany
227,Deggendorf,9,Bayern,Southern Germany
228,Landshut,9,Bayern,Southern Germany
229,Passau,9,Bayern,Southern Germany
230,Rottal-Inn,9,Bayern,Southern Germany
231,Straubing,9,Bayern,Southern Germany
232,Amberg,9,Bayern,Southern Germany
233,Regensburg,9,Bayern,Southern Germany
234,Schwandorf,9,Bayern,Southern Germany
235,Weiden,9,Bayern,Southern Germany
236,Bamberg,9,Bayern,Southern Germany
237,Bayreuth,9,Bayern,Southern Germany
238,Coburg,9,Bayern,Southern Germany
239,Hof,9,Bayern,Southern Germany
240,Kulmbach,9,Bayern,Southern Germany
241,Ansbach,9,Bayern,Southern Germany
242,Erlangen,9,Bayern,Southern Germany
243,Fürth,9,Bayern,Southern Germany
244,Nürnberg-Nord,9,Bayern,Cities
245,Nürnberg-Süd,9,Bayern,Cities
246,Roth,9,Bayern,Southern Germany
247,Aschaffenburg,9,Bayern,Southern Germany
248,Bad Kissingen,9,Bayern,Southern Germany
249,Main-Spessart,9,Bayern,Southern Germany
250,Schweinfurt,9,Bayern,Southern Germany
251,Würzburg,9,Bayern,Southern Germany
252,Augsburg-Stadt,9,Bayern,Cities
253,Augsburg-Land,9,Bayern,Southern Germany
254,Donau-Ries,9,Bayern,Southern Germany
255,Neu-Ulm,9,Bayern,Southern Germany
256,Oberallgäu,9,Bayern,Southern Germany
257,Ostallgäu,9,Bayern,Southern Germany
258,Stuttgart I,8,Baden-Württemberg,Cities
259,Stuttgart II,8,Baden-Württemberg,Cities
260,Böblingen,8,Baden-Württemberg,Southern Germany
261,Esslingen,8,Baden-Württemberg,Cities
262,Nürtingen,8,Baden-Württemberg,Southern Germany
263,Göppingen,8,Baden-Württemberg,Southern Germany
264,Waiblingen,8,Baden-Württemberg,Southern Germany
265,Ludwigsburg,8,Baden-Württemberg,Southern Germany
266,Neckar-Zaber,8,Baden-Württemberg,Southern Germany
267,Heilbronn,8,Baden-Württemberg,Southern Germany
268,Schwäbisch Hall – Hohenlohe,8,Baden-Württemberg,Southern Germany
269,Backnang – Schwäbisch Gmünd,8,Baden-Württemberg,Southern Germany
270,Aalen – Heidenheim,8,Baden-Württemberg,Southern Germany
271,Karlsruhe-Stadt,8,Baden-Württemberg,Cities
272,Karlsruhe-Land,8,Baden-Württemberg,Southern Germany
273,Rastatt,8,Baden-Württemberg,Southern Germany
274,Heidelberg,8,Baden-Württemberg,Cities
275,Mannheim,8,Baden-Württemberg,Cities
276,Odenwald – Tauber,8,Baden-Württemberg,Southern Germany
277,Rhein-Neckar,8,Baden-Württemberg,Southern Germany
278,Bruchsal – Schwetzingen,8,Baden-Württemberg,Southern Germany
279,Pforzheim,8,Baden-Württemberg,Southern Germany
280,Calw,8,Baden-Württemberg,Southern Germany
281,Freiburg,8,Baden-Württemberg,Southern Germany
282,Lörrach – Müllheim,8,Baden-Württemberg,Southern Germany
283,Emmendingen – Lahr,8,Baden-Württemberg,Southern Germany
284,Offenburg,8,Baden-Württemberg,Southern Germany
285,Rottweil – Tuttlingen,8,Baden-Württemberg,Southern Germany
286,Schwarzwald-Baar,8,Baden-Württemberg,Southern Germany
287,Konstanz,8,Baden-Württemberg,Southern Germany
288,Waldshut,8,Baden-Württemberg,Southern Germany
289,Reutlingen,8,Baden-Württemberg,Southern Germany
290,Tübingen,8,Baden-Württemberg,Southern Germany
291,Ulm,8,Baden-Württemberg,Southern Germany
292,Biberach,8,Baden-Württemberg,Southern Germany
293,Bodensee,8,Baden-Württemberg,Southern Germany
294,Ravensburg,8,Baden-Württemberg,Southern Germany
295,Zollernalb – Sigmaringen,8,Baden-Württemberg,Southern Germany
296,Saarbrücken,10,Saarland,Western Germany
297,Saarlouis,10,Saarland,Western Germany
298,St. Wendel,10,Saarland,Western Germany
299,Homburg,10,Saarland,Western Germany
